社区ID,节点数量,核心节点数,内部关系数,总权重,平均权重,子图密度,平均度数,平均加权度数,节点类型分布
0,130,1,446,141.3,0.3168,0.0532,7.08,2.2577,Action:43 | Section:30 | Responsibility:29 | PartyWithResponsibility:12 | Chapter:6
1,105,1,197,47.95,0.2434,0.0361,3.86,0.951,Means:41 | Section:33 | Influence:14 | Actor:9 | Account:3
2,85,5,130,67.15,0.5165,0.0364,3.07,1.5829,Section:35 | PunishmentMeasure:11 | Law:11 | Action:8 | DisadvantageHolder:6
3,64,0,132,27.65,0.2095,0.0655,4.19,0.8789,Section:21 | PartyWithResponsibility:16 | Action:12 | Event:9 | Chapter:4
4,60,3,165,85.3,0.517,0.0932,6.47,3.2083,Section:18 | Action:18 | PunishmentMeasure:6 | Chapter:5 | Law:5
5,60,1,151,62.2,0.4119,0.0853,6.5,2.6258,Section:18 | PartyWithResponsibility:11 | Responsibility:9 | Action:9 | Law:6
6,45,2,47,12.3,0.2617,0.0475,2.24,0.5822,Section:17 | Actor:16 | Chapter:7 | RegulatoryAuthority:2 | Title:1
7,23,0,29,6.25,0.2155,0.1146,2.57,0.5543,Section:9 | Action:6 | PartyWithResponsibility:6 | Chapter:1 | Event:1
8,10,3,9,4.5,0.5,0.2,1.9,0.925,Section:6 | RegulatoryAuthority:3 | Chapter:1
9,10,0,9,4.5,0.5,0.2,2.1,1.005,Law:6 | Responsibility:2 | Section:1 | PartyWithResponsibility:1
10,7,0,10,5.0,0.5,0.4762,3.0,1.4643,Punishment:2 | Violation:2 | PartyWithResponsibility:2 | Section:1
全局统计,599,16,1427,501.35,0.3513,0.008,4.76,1.674,模块度: 0.7463
