社区对,连接数量,总权重,平均权重,关系类型
0<->3,22,19.3,0.8772727272727273,做出 | 包含 | 包含责任方 | 履行 | 执行
3<->8,16,2.5,0.15625,包含 | 包含监管机构 | 受到 | 处理 | 规定行为
1<->5,8,2.25,0.28125,包含 | 包含监管机构 | 监管
3<->5,8,5.45,0.68125,依照 | 包含监管机构 | 监管
1<->9,5,2.55,0.51,做出 | 包含 | 包含主体
1<->3,3,1.3,0.43333333333333335,包含监管机构 | 监管
0<->12,3,2.15,0.7166666666666667,包含 | 包含责任方 | 履行
0<->5,3,3.0,1.0,监管
0<->10,2,1.2,0.6,包含 | 履行
2<->14,1,0.2,0.2,包含
0<->4,1,0.95,0.95,包含主体
3<->10,1,0.3,0.3,依据
4<->11,1,0.2,0.2,包含
4<->13,1,0.2,0.2,包含
4<->5,1,0.15,0.15,包含监管机构
4<->7,1,0.2,0.2,包含
5<->10,1,0.15,0.15,依照
5<->6,1,0.2,0.2,包含
6<->9,1,0.2,0.2,包含
