节点ID,节点名称,节点类型,是否核心类型,所有标签,所属社区,度数,加权度数,入度,出度,加权入度,加权出度,聚类系数,邻居节点数,邻居社区分布
LE602276,第四十一条,Section,否,Section,1,1,0.2,1,0,0.2,0.0,0.0,1,社区1:1
LE804025,没收违法商品,PunishmentMeasure,否,PunishmentMeasure,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE016525,交易相对方的工作人员,DisadvantageHolder,否,DisadvantageHolder,1,2,0.3,2,0,0.3,0.0,0.15,2,社区1:2
LE808631,滥用自身资金、技术、交易渠道、行业影响力等方面的优势地位,Action,是,Action,1,1,1.0,1,0,1.0,0.0,0.0,1,社区1:1
LE930086,可以并处吊销营业执照,PunishmentMeasure,否,PunishmentMeasure,1,2,0.3,2,0,0.3,0.0,0.189,2,社区1:2
LE875935,第八条,Section,否,Section,1,5,0.8,1,4,0.2,0.6,0.045,5,社区1:5
LE868570,第三十一条,Section,否,Section,1,3,0.5,1,2,0.2,0.3,0.063,3,社区1:3
LE220212,违反本法第十三条第二款、第三款、第四款规定利用网络从事不正当竞争,Action,是,Action,1,1,1.0,1,0,1.0,0.0,0.0,1,社区1:1
LE633229,第二十三条,Section,否,Section,1,2,0.35,1,1,0.2,0.15,0.0,2,社区1:2
LE661713,本法第八条规定,Law,否,Law,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE965687,本法第九条规定,Law,否,Law,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE203229,第二十五条,Section,否,Section,1,3,0.5,1,2,0.2,0.3,0.063,3,社区1:3
LE836394,经营者,AdvantageHolder,否,AdvantageHolder,1,24,9.0,10,14,1.8,7.2,0.0092,24,社区1:24
LE225258,中华人民共和国反不正当竞争法（2025年6月27日第十四届全国人民代表大会常务委员会第十六次会议第二次修订）,Title,否,Title,1,5,1.0,0,5,0.0,1.0,0.0,5,社区1:5
LE329500,大型企业等经营者,AdvantageHolder,否,AdvantageHolder,1,3,1.3,1,2,0.15,1.15,0.05,3,社区1:3
LE167403,各级人民政府,RegulatoryAuthority,否,RegulatoryAuthority,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE959807,对单位可以处十万元以下的罚款,PunishmentMeasure,否,PunishmentMeasure,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE652614,滥用自身优势地位,Action,是,Action,1,1,1.0,1,0,1.0,0.0,0.0,1,社区1:1
LE498251,本法第七条规定,Law,否,Law,1,1,0.15,1,0,0.15,0.0,0.0,1,社区1:1
LE982661,第二十九条,Section,否,Section,1,3,0.5,1,2,0.2,0.3,0.063,3,社区1:3
LE757503,其他自然人、法人和非法人组织,AdvantageHolder,否,AdvantageHolder,1,4,1.6,2,2,0.45,1.15,0.063,4,社区1:4
