社区ID,节点数量,核心节点数,内部关系数,总权重,平均权重,子图密度,平均度数,平均加权度数,节点类型分布
0,119,41,426,259.85,0.61,0.0607,7.48,4.492,Action:41 | Responsibility:28 | Section:27 | PartyWithResponsibility:10 | Chapter:5
1,95,8,140,31.7,0.2264,0.0314,2.95,0.6674,Section:41 | PunishmentMeasure:11 | Law:11 | Action:8 | RegulatoryAuthority:8
2,87,21,279,155.2,0.5563,0.0746,7.05,3.8609,Section:24 | Action:21 | PartyWithResponsibility:13 | Law:10 | Responsibility:9
3,82,33,127,76.75,0.6043,0.0382,3.37,1.939,Means:33 | Section:31 | Influence:11 | Account:3 | Actor:2
4,60,7,126,51.0,0.4048,0.0712,4.3,1.7167,Section:22 | PartyWithResponsibility:13 | Event:8 | Action:7 | Chapter:4
5,60,3,72,18.75,0.2604,0.0407,2.75,0.7008,Section:23 | Actor:19 | Chapter:8 | RegulatoryAuthority:4 | Means:3
6,23,6,29,8.1,0.2793,0.1146,2.57,0.713,Section:9 | Action:6 | PartyWithResponsibility:6 | Chapter:1 | Event:1
7,14,6,36,28.4,0.7889,0.3956,6.29,4.8929,Action:6 | PunishmentMeasure:3 | PartyWithResponsibility:2 | Section:2 | RegulatoryAuthority:1
8,13,5,34,26.25,0.7721,0.4359,5.77,4.1846,Means:5 | Advantage:3 | Actor:2 | Influence:2 | Section:1
9,12,3,28,17.65,0.6304,0.4242,5.17,3.1,Actor:5 | Section:3 | Means:3 | Influence:1
10,12,2,12,3.9,0.325,0.1818,2.83,0.9333,Section:4 | PartyWithResponsibility:2 | Law:2 | Action:2 | Responsibility:1
11,12,5,15,5.0,0.3333,0.2273,2.75,0.875,PartyWithResponsibility:5 | Action:5 | Event:1 | Section:1
12,10,0,9,1.55,0.1722,0.2,2.1,0.37,Law:6 | Responsibility:2 | Section:1 | PartyWithResponsibility:1
全局统计,599,140,1427,719.9,0.5045,0.008,4.76,2.4037,模块度: 0.7333
