社区对,连接数量,总权重,平均权重,关系类型
0<->2,24,10.45,0.4354166666666666,做出 | 包含 | 包含责任方 | 履行 | 执行 | 监管
2<->7,16,11.700000000000001,0.7312500000000001,包含 | 包含监管机构 | 受到 | 处理 | 规定行为
2<->5,10,2.4,0.24,依照 | 包含监管机构 | 监管
0<->10,9,3.2,0.35555555555555557,依据 | 包含 | 包含责任方 | 履行 | 执行
3<->5,7,1.25,0.17857142857142858,包含 | 包含主体 | 包含监管机构 | 监管
3<->8,7,1.9,0.2714285714285714,具有 | 包含 | 包含主体 | 旨在导致
3<->9,5,1.75,0.35,做出 | 包含 | 包含主体
2<->3,3,0.6,0.19999999999999998,包含监管机构 | 监管
4<->11,3,0.5,0.16666666666666666,包含 | 包含主体 | 针对
0<->12,2,0.45,0.225,包含 | 履行
0<->5,2,0.6,0.3,监管
0<->4,1,0.15,0.15,包含主体
2<->12,1,0.15,0.15,依据
2<->10,1,0.2,0.2,包含
4<->5,1,0.15,0.15,包含监管机构
4<->6,1,0.2,0.2,包含
5<->9,1,0.15,0.15,包含主体
